Category,category_id,Subcategory,subcateogory_id,amount,year
議会費,1,議会費,101,161066000,2014
総務費,2,総務管理費,102,1100776000,2014
総務費,2,徴税費,103,130785000,2014
総務費,2,戸籍住民基本台帳費,104,74889000,2014
総務費,2,選挙費,105,51566000,2014
総務費,2,統計調査費,106,9769000,2014
総務費,2,監査委員費,107,18762000,2014
民生費,3,社会福祉費,108,2707467000,2014
民生費,3,老人福祉施設費,109,115941000,2014
民生費,3,児童福祉費,110,1507907000,2014
民生費,3,生活保護費,111,498094000,2014
民生費,3,災害救助費,112,160,2014
衛生費,4,保健衛生費,113,305687000,2014
衛生費,4,清掃費,114,580518000,2014
労働費,5,労働諸費,115,136269000,2014
農林水産業費,6,農業費,116,226626000,2014
農林水産業費,6,林業費,117,28560000,2014
農林水産業費,6,水産業費,118,10473000,2014
商工費,7,商工費,119,507580000,2014
土木費,8,土木管理費,120,33624000,2014
土木費,8,道路橋梁費,121,92752000,2014
土木費,8,河川費,122,16936000,2014
土木費,8,港湾費,123,118696000,2014
土木費,8,都市計画費,124,748523000,2014
土木費,8,伝統的文化都市環境保存地区整備費,125,28116000,2014
土木費,8,住宅費,126,77849000,2014
土木費,8,用悪水路費,127,33726000,2014
土木費,8,急傾斜地崩壊対策費,128,15000000,2014
土木費,8,交通安全対策事業費,129,7868000,2014
消防費,9,消防費,130,510182000,2014
教育費,10,教育総務費,131,1400803000,2014
教育費,10,小学校費,132,188092000,2014
教育費,10,中学校費,133,113753000,2014
教育費,10,幼稚園費,134,56763000,2014
教育費,10,社会教育費,135,268077000,2014
教育費,10,保健体育費,136,90749000,2014
災害復旧費,11,公共土木施設災害復旧費,137,1000000,2014
公債費,12,公債費,138,986817000,2014
予備費,13,予備費,139,10000000,2014